"","label","student_first","student_last","address_1","address_2","city","state","zip","student_id","home_lang"
"55","Parent/Guardian of Seunghoo Sasaki","Seunghoo","Sasaki","8049 3rd Ave South","","Minneapolis","MN","55408",1969,"Somali"
"56","Desiree Villanueba","Ashley","Villanueba","8387 29th Ave S","","Minneapolis","MN","55406",1981,"Spanish"
"57","Parent/Guardian of Renee Van","Renee","Van","139 Franklin Ave E","414","Minneapolis","MN","55406",1990,"English"
"58","Parent/Guardian of Alyssa Wise-Martin","Alyssa","Wise-Martin","4722 Washburn Ave S","","Minneapolis","MN","55410",2015,"Somali"
"59","Corey Mondia","Jian Michael","Mondia","9044 N 7th St","","Minneapolis","MN","55405",2028,"English"
"60","Parent/Guardian of Nathan Maisel","Nathan","Maisel","8491 Chowen Ave S","","Minneapolis","MN","55410",2046,"English"
"61","Dillion Smith","Jyhanai","Smith","7760 Portland Ave","3","Minneapolis","MN","55407",2052,"English"
"62","Raquel Brooks","Militta","Brooks","7730 Vincent Ave S","","Minneapolis","MN","55410",2108,"English"
"63","Van & Tiffany Wu","Daniel","Wu","1411 27th Ave South","","Minneapolis","MN","55417",2110,"Spanish"
"64","Morgan Jones","Joshua","Jones","5237 53rd St","317","Minneapolis","MN","55419",2183,"Spanish"
"65","Hailey & Tessla Jensen","Shannia","Jensen","1521 Xerxes Ave S","","Minneapolis","MN","55410",2186,"English"
"66","Kelcy Pfaffl","Amanda","Pfaffl","5555 Snelling Ave","","Minneapolis","MN","55406",2216,"Spanish"
"67","Andrej McAlister","Leslie","McAlister","9076 West 32nd Street","","Minneapolis","MN","55408",2259,"English"
"68","Ariana Morrison","Austin","Morrison","9318 Fremont Ave South","","Minneapolis","MN","55419",2262,"English"
"69","Karly Wixom","Nicholas","Wixom","4630 4th Ave S","1","Minneapolis","MN","55408",2263,"English"
"70","Kathryn Vargas","Jose","Vargas","4952 Cedar Ave S","","Minneapolis","MN","55404",2270,"English"
"71","Dewon Richardson","Jacob","Richardson","7020 Oliver Ave N","","Minneapolis","MN","55412",2283,"English"
"72","Kevin & Bruce Shelton","Destinee","Shelton","7136 Bryant Ave S","","Minneapolis","MN","55409",2294,"English"
"73","Parent/Guardian of Marissa Buhr","Marissa","Buhr","6243 Columbus Ave","","Minneapolis","MN","55417",2304,"English"
"74","Parent/Guardian of Perri Xiong","Perri","Xiong","4153 Circle Terrace Ne","","Columbia Heights","",NA,2306,"English"
"75","Katelynn Ono","Yechan","Ono","6996 Nicollet Ave","","Minneapolis","MN","55419",2309,"English"
"76","Jade Holmes","Torin","Holmes","4814 Bryant Ave S","301","Minneapolis","MN","55409",2311,"Somali"
"77","Anveshi Williams","David","Williams","8728 Taylor St Ne","","Minneapolis","MN","55418",2318,"English"
"78","Markuz Miles","Oriana","Miles","9541 Portland Ave","406","Minneapolis","MN","55404",2325,"Hmong"
"79","Ellen & Jacob Perales","Taeler","Perales","3621 16th Ave S","","Minneapolis","MN","55417",2342,"Spanish"
"80","Parent/Guardian of Kellye Roath","Kellye","Roath","9354 Longfellow Ave","","Minneapolis","MN","55407",2345,"English"
"81","Parent/Guardian of Marcellus Person","Marcellus","Person","907 Emerson Ave N","","Minneapolis","MN","55412",2363,"English"
"82","Alexander & Laniece Acevedo","Silvia","Acevedo","7950 Nicollet Ave","","Minneapolis","MN","55419",2415,"English"
"83","Parent/Guardian of Stefan Cole-Hassell","Stefan","Cole-Hassell","2954 35th Ave S","","Minneapolis","MN","55417",2419,"English"
"84","Michael Bagley","Matti","Bagley","1392 12th Ave S","","Bloomington","MN","55425",2427,"English"
"85","Bailey Binshaban","Nathan","Binshaban","9137 18th Ave","","Minneapolis","MN","55407",2446,"Spanish"
"86","Parent/Guardian of Ryley Larsen","Ryley","Larsen","8701 Taylor St Ne","","Minneapolis","MN","55418",2457,"English"
"87","Parent/Guardian of An Hoa Surghani","An Hoa","Surghani","3864 2nd St S","332","Minneapolis","MN","55401",2463,"Spanish"
"88","Parent/Guardian of Jacob Podgorski","Jacob","Podgorski","7300 44th St E","","Minneapolis","MN","55409",2467,"Spanish"
"89","Brooke Fink","Jamice","Fink","3642 94th St W","#348","Bloomington","MN","55431",2485,"English"
"90","Jamie Sharp","Garrett","Sharp","6595 14th Ave S","","Minneapolis","MN","55407",2488,"English"
"91","Parent/Guardian of Bruce Richardson","Bruce","Richardson","8872 11th Ave S","","Minneapolis","MN","55407",2499,"English"
"92","Kathryne Montoya","Shannon","Montoya","7651 Clinton Ave","","Minneapolis","MN","55419",2502,"Spanish"
"93","Morgan Bowman","Breeanna","Bowman","3666 Lyndale Ave N","","Minneapolis","MN","55411",2521,"Spanish"
"94","Tassawwar Nguyen","Michelle","Nguyen","6790 31st Ave S","","Minneapolis","MN","55406",2526,"Spanish"
"95","Parent/Guardian of Sharron Banks","Sharron","Banks","5633 34th Ave S","","Minneapolis","MN","55417",2527,"English"
"96","Umeed Alexander","Nathan","Alexander","3551 Colfax Ave S","","Minneapolis","MN","55408",2530,"English"
"97","Angel Dexter","Dawnielle","Dexter","4063 Fremont Ave S","","Minneapolis","MN","55405",2540,"English"
"98","Lexess Reardon","Jared","Reardon","9790 Nicollet Ave","529","Minneapolis","MN","55403",2547,"Spanish"
"99","Mary Nguyen","Tierni","Nguyen","8558 Morgan Ave North","","Minneapolis","MN","55412",2553,"English"
"100","Grant McClain","Ron","McClain","9245 25th Ave S","","Minneapolis","MN","55406",2562,"Somali"
"101","Stephaney Greksa","Christopher","Greksa","6616 Nokomis Ave","","Minneapolis","MN","55406",2629,"English"
"102","Adam Miller","Meaghan","Miller","4781 80th St E","","Bloomington","MN","55420",2659,"English"
"103","Anthony & Shazia Gonzales","Gerardo","Gonzales","9303 Penn Ave N","2","Minneapolis","MN","55405",2663,"Spanish"
"104","Nilam Watts-Hight","Everett","Watts-Hight","7982 16th Ave","304","Minneapolis","MN","55404",2672,"English"
"105","Joshua Erickson","Phillip","Erickson","559 17th Ave South","","Minneapolis","MN","55407",2685,"English"
"106","Brandy Rose Sandoval","Selene","Sandoval","6731 41st Ave South","","Minneapolis","MN","55406",2696,"English"
"107","Savannah Harris","Kaylee","Harris","9162 W Medicine Lake Dr","234","Plymouth","MN","55441",2778,"English"
"108","Willanna Dowd","David","Dowd","6743 Sheridan Ave S","","Minneapolis","MN","55405",2801,"English"
"109","Antonio & Valerie Mehreen","Julia","Mehreen","5607 Bloomington Ave","","Minneapolis","MN","55407",2850,"English"
"110","Parent/Guardian of Michael Bullard","Michael","Bullard","5568 Grand Ave S","101","Minneapolis","MN","55408",2857,"English"
"111","Vanessa Lilly","Malcolm","Lilly","7056 36th Ave S","1","Minneapolis","MN","55406",2896,"Spanish"
"112","Kenly & Abigail Ramirez","Leioka","Ramirez","2197 Golden Valley","6","Minneapolis","",NA,2901,"English"
"113","Hendrick Lorentzen","Sarah","Lorentzen","6516 41st Ave S","","Minneapolis","MN","55417",2926,"English"
"114","Andrew Christy","Noah","Christy","7261 Grand Ave","","Minneapolis","MN","55419",2927,"English"
"115","Parent/Guardian of Shyanne McCaune","Shyanne","McCaune","9071 Nokomis Ave","","Minneapolis","MN","55406",2944,"English"
"116","Earicka Begay","Taeler","Begay","3436 23rd Ave S","","Minneapolis","MN","55407",2951,"English"
"117","Parent/Guardian of Lars Johnson","Lars","Johnson","1879 60th St W","","Minneapolis","MN","55410",2983,"English"
"118","Kiearra Huntley","Sierra","Huntley","5370 Nicollet Ave","204","Minneapolis","MN","55409",3017,"English"
"119","Parent/Guardian of Cameron James","Cameron","James","5914 Pleasant Ave","","Minneapolis","MN","55419",3068,"Spanish"
"120","Parent/Guardian of Adler Green","Adler","Green","1384 Morgan Ave North","","Minneapolis","MN","55412",3082,"Spanish"
"121","Cecily Tucker","Cason","Tucker","3233 13th Ave South","","Minneapolis","MN","55417",3083,"Spanish"
"122","Parent/Guardian of Devin Molock","Devin","Molock","9105 42nd St E","","Minneapolis","MN","55406",3146,"English"
"123","Sarah Ferguson","Anthony","Ferguson","4783 Pleasant Ave S","104","Minneapolis","MN","55408",3151,"English"
"124","Parent/Guardian of Alexander Arguello","Alexander","Arguello","7695 Blaisdell Ave","","Minneapolis","MN","55409",3221,"English"
"125","Parent/Guardian of Alexandra Bruce","Alexandra","Bruce","648 5th Ave","#1","Minneapolis","MN","55404",3230,"English"
"126","Theodore Garland","Kevin","Garland","686 James Ave S","","Minneapolis","MN","55419",3236,"English"
"127","Ryan Hanzlick","Sean","Hanzlick","7155 Portland Ave","","Minneapolis","MN","55407",3247,"English"
"128","Parent/Guardian of Justin Winter","Justin","Winter","9804 7th St N","F203","Minneapolis","MN","55411",3253,"English"
"129","Cyrus Williams","Zachariah","Williams","8370 9th St S","411","Minneapolis","MN","55406",3256,"English"
"130","Olivia & Louis Rodgers","Clayton","Rodgers","1545 3rd St Ne","","Minneapolis","MN","55418",3260,"English"
"131","Anthony Camacho","Elva","Camacho","7349 31st Ave S","","Minneapolis","MN","55406",3270,"English"
"132","Jensen Montoya","Guadalupe","Montoya","1707 Queen Ave North","","Minneapolis","MN","55411",3376,"English"
"133","Thalia & Thuy Dullin","Heather","Dullin","1854 Xerxes Ave","","Minneapolis","MN","55410",3382,"English"
"134","Parent/Guardian of Emily Querubin","Emily","Querubin","2144 Washburn Ave South","","Minneapolis","MN","55410",3400,"Spanish"
"135","Parent/Guardian of Mayumi Easterling","Mayumi","Easterling","6072 24th Ave Ne","","Minneapolis","MN","55418",3404,"Spanish"
"136","Asha & Jonathan Jenkins","Ian","Jenkins","272 Penn Ave N","","Minneapolis","MN","55411",3432,"English"
"137","Damon Chavarria Marquez","Bryan","Chavarria Marquez","7306 Bryant Ave N","","Minneapolis","MN","55412",3454,"English"
"138","Marlena Kline","Keegan","Kline","1581 Bloomington Ave","","Minneapolis","MN","55407",3456,"English"
"139","Kimberly Bueno","Deion","Bueno","7743 5th Ave S","","Minneapolis","MN","55408",3502,"Spanish"
"140","Parent/Guardian of Seth Gipe","Seth","Gipe","5941 12th Ave S","","Minneapolis","MN","55407",3516,"English"
"141","Elena & Jeffrey Gurung","Patrick","Gurung","7396 Franklin Ave E","401","Minneapolis","MN","55406",3524,"English"
"142","Emanuel & Kylisha McGee","Jordan","McGee","3164 Minnehaha Ave","25","Minneapolis","MN","55406",3585,"English"
"143","Parent/Guardian of Devin Jones","Devin","Jones","232 Park Ave","","Minneapolis","MN","55407",3590,"English"
"144","Dylan Stafford","William","Stafford","5863 26th Ave S","","Minneapolis","MN","55406",3632,"English"
"145","Parent/Guardian of Daniel Kiger","Daniel","Kiger","1752 26th Ave S","","Minneapolis","MN","55406",3639,"English"
"146","Parent/Guardian of Trasa Rozier","Trasa","Rozier","1835 Garfield Ave S","","Minneapolis","MN","55419",3640,"English"
"147","Avery Nguyen","Randy","Nguyen","3249 Colfax Ave N","","Minneapolis","MN","55412",3643,"Spanish"
"148","Parent/Guardian of Slate Slade","Slate","Slade","4344 37th St E","","Minneapolis","MN","55409",3657,"English"
"149","Katelin Le","Hannah","Le","1177 13th Ave S","","Minneapolis","MN","55417",3694,"English"
"150","Paris & Adel Loftis","Charles","Loftis","3807 Portland Ave","","Minneapolis","MN","55417",3698,"English"
"151","Reigna Pacht","Kownoon","Pacht","7109 22nd Ave S","","Minneapolis","MN","55407",3699,"English"
"152","Parent/Guardian of Matthew Dzanic","Matthew","Dzanic","3562 Bloomington Ave","","Minneapolis","MN","55407",3709,"English"
"153","Parent/Guardian of Meaghan Hazlitt","Meaghan","Hazlitt","61 Fremont Ave S","","Minneapolis","MN","55419",3723,"Spanish"
"154","Parent/Guardian of Kali Strait","Kali","Strait","6275 33rd Ave S","102","Minneapolis","MN","55406",3734,"Spanish"
"155","Zakery Council II","Chase","Council II","7825 24th St E","205","Minneapolis","MN","55404",3743,"English"
"156","Parent/Guardian of Charles Goddard","Charles","Goddard","8733 31st Ave N","2","Minneapolis","MN","55411",3747,"English"
"157","Parent/Guardian of Richard Van","Richard","Van","4800 Oliver Ave N","","Minneapolis","MN","55411",3781,"English"
"158","Parent/Guardian of Leondre Whitaker","Leondre","Whitaker","3622 3rd Ave S","","Bloomington","MN","55420",3791,"English"
"159","Rachel Scanlan","Sjaandra","Scanlan","2232 Pillsbury Ave","1902","Minneapolis","MN","55408",3822,"English"
"160","Ian Akhtar","Bonnie","Akhtar","9658 Park Ave","2","Minneapolis","MN","55407",3839,"English"
"161","Taiyler & Lina Alarid","Cass","Alarid","627 Harriet Ave S","1","Minneapolis","MN","55407",3868,"English"
"162","Omar Vereline","Matthew","Vereline","7985 22nd Ave S","","Minneapolis","MN","55407",3905,"English"
"163","Amber Williams","Aubry","Williams","1194 Rustic Lodge West","","Minneapolis","MN","55419",3958,"English"
"164","Corey Chaudhry","Woranee","Chaudhry","3171 Pillsbury Ave","","Minneapolis","MN","55409",3961,"English"
"165","Kenny Crow","Meg","Crow","3764 30th Ave S","","Minneapolis","MN","55406",3979,"Spanish"
"166","Tyeshia & Raymond Murray","Kristina","Murray","9067 29th Ave S","","Minneapolis","MN","55417",4009,"English"
"167","Cody Pippin-Mandley","Erik","Pippin-Mandley","709 Stevens Ave","","Minneapolis","MN","55419",4038,"English"
"168","Parent/Guardian of Derick Valenzuela","Derick","Valenzuela","9952 17th Ave S","1","Minneapolis","MN","55404",4046,"Spanish"
"169","Parent/Guardian of Shawnell Cook","Shawnell","Cook","2932 Pillsbury Ave","","Minneapolis","MN","55408",4052,"English"
"170","Parent/Guardian of Sarah Wells","Sarah","Wells","8554 Pleasant Ave","","Minneapolis","MN","55409",4112,"English"
"171","Elyse Jackson","Isaiah","Jackson","8910 12th Ave S","","Minneapolis","MN","55404",4117,"English"
"172","Parent/Guardian of Jill Paries","Jill","Paries","9948 Harriet Ave S","2","Minneapolis","MN","55409",4124,"English"
"173","Parent/Guardian of Dillon Listen","Dillon","Listen","3498 Queen Ave N","","Minneapolis","MN","55411",4126,"English"
"174","Parent/Guardian of Daniel Goodbear","Daniel","Goodbear","2286 Elliot Ave","","Minneapolis","MN","55407",4146,"English"
"175","Parent/Guardian of Ian Haight","Ian","Haight","336 Jackson St Ne","10","Minneapolis","MN","55413",4179,"English"
"176","Parent/Guardian of Stephen Baye","Stephen","Baye","5895 Bryant Ave S","","Minneapolis","MN","55419",4186,"Spanish"
"177","James Babbitt","Dianna","Babbitt","5753 18th Ave S","1","Minneapolis","MN","55407",4192,"English"
"178","Parent/Guardian of Nicklos Yellowhorse","Nicklos","Yellowhorse","6893 Grand Ave","3","Minneapolis","MN","55419",4204,"English"
"179","Parent/Guardian of Katherine Salcido","Katherine","Salcido","599 Logan Ave N","2","Minneapolis","MN","55411",4208,"English"
"180","Brittany Caster","Josie","Caster","669 Columbus Ave","","Minneapolis","MN","55407",4216,"English"
"181","Denielle Scott","Cheanna","Scott","7621 Minnehaha Ave","3","Minneapolis","MN","55406",4235,"Spanish"
"182","Parent/Guardian of Noah Hubbard","Noah","Hubbard","5882 Lake St W","401","Minneapolis","MN","55416",4243,"English"
"183","Kamiyanna & Whitney Cure","Josallyn","Cure","5073 15th Ave S","","Minneapolis","MN","55407",4246,"English"
"184","Parent/Guardian of Amanda Weimer","Amanda","Weimer","2171 Bloomington Ave S","","Minneapolis","MN","55407",4251,"English"
"185","Parent/Guardian of Cameron Ashby","Cameron","Ashby","5806 Banneker Ave N","303","Minneapolis","MN","55411",4255,"English"
"186","Parent/Guardian of Candido Saiz","Candido","Saiz","4601 Colfax Ave S","","Minneapolis","MN","55405",4260,"English"
"187","Teryl Pruitt","Tyler","Pruitt","1478 29th Ave Se","D","Minneapolis","MN","55414",4264,"Spanish"
"188","Rachel Bonilla","Christopher","Bonilla","7070 Girard Ave N","","Minneapolis","MN","55412",4278,"English"
"189","Parent/Guardian of Christine Vong","Christine","Vong","9866 Pleasant","313","Minneapolis","MN","55408",4285,"English"
"190","Malysha Sepahi","Jaimie","Sepahi","2356 Grand Ave","","Minneapolis","MN","55405",4334,"English"
"191","Damian Hysell","Jonathan","Hysell","5976 23rd Ave N","","Minneapolis","MN","55411",4351,"Somali"
"192","Parent/Guardian of Jarod Lewis","Jarod","Lewis","5856 Garfield Ave S","","Minneapolis","MN","55419",4442,"English"
"193","Miguel & William Cheatham","Trae","Cheatham","4057 Harriet Ave S","","Minneapolis","MN","55419",4453,"English"
"194","Benjamin Rodriguez","Omar","Rodriguez","4831 6th St S","C2008","Minneapolis","MN","55454",4465,"Spanish"
"195","Marshall Serrano","Maria","Serrano","7600 Emerson Ave South","","Minneapolis","MN","55419",4468,"English"
"196","Richard Sayavong","Dakota","Sayavong","5183 17th Ave S","","Minneapolis","MN","55417",4483,"English"
"197","Parent/Guardian of German Rodriguez","German","Rodriguez","2607 41st Ave S","","Minneapolis","MN","55406",4501,"Somali"
"198","Parent/Guardian of Ryan Rose","Ryan","Rose","5612 Emerson Ave N","","Minneapolis","MN","55411",4504,"English"
"199","Cheyenne Garcia","Mathew","Garcia","6079 Chowen Ave S","","Minneapolis","MN","55410",4520,"English"
"200","Michael Christinson","Madison","Christinson","6003 16th Ave South","","Minneapolis","MN","55407",4525,"English"
"201","Parent/Guardian of Larry Pough","Larry","Pough","5060 Beard Ave S","","Minneapolis","MN","55410",4535,"English"
"202","Zachary Warren","Kelly","Warren","2404 Colfax Ave S","","Minneapolis","MN","55408",4576,"English"
"203","Will Blair","Andy","Blair","2419 25th Ave Se","","Minneapolis","MN","55414",4578,"English"
"204","Matthew & Keaun Nwankwo","Demetrus","Nwankwo","2335 Knox Ave N","","Minneapolis","MN","55411",4610,"English"
"205","Cindy Fischer","Kevin","Fischer","3100 28th Ave S","","Minneapolis","MN","55417",4611,"English"
"206","Erick Quiles","Daniel","Quiles","8070 14th Ave S","","Minneapolis","MN","55404",4638,"Spanish"
"207","Parent/Guardian of Kariell Martin","Kariell","Martin","3866 Abbott Ave S","","Minneapolis","MN","55410",4642,"English"
"208","Markeius Richards","Rorie","Richards","5994 Girard Ave North","","Minneapolis","MN","55412",4670,"English"
"209","Helene Longoria","Dante","Longoria","182 Nicollet Ave","","Minneapolis","MN","55419",4690,"Spanish"
"210","Sunya Burwell","Nicholas","Burwell","6754 Clear Ave E","","Saint Paul","MN","55106",4696,"Spanish"
"211","Parent/Guardian of Daniel Finkbeiner","Daniel","Finkbeiner","7065 Washington St","311","Minneapolis","MN","55418",4727,"English"
"212","Parent/Guardian of Sandra Johnson-Scott","Sandra","Johnson-Scott","8739 Lowry Ave N","127","Minneapolis","MN","55411",4752,"English"
"213","Riely & Mikayla Eberhardt","Rachel","Eberhardt","5312 36th Ave Northeast","","Minneapolis","MN","55418",4756,"English"
"214","Erik Higgins","Tasha","Higgins","2323 46th Ave S","","Minneapolis","MN","55406",4782,"English"
"215","Parent/Guardian of Rikki Blanco Mendez","Rikki","Blanco Mendez","322 32nd Ave S","","Minneapolis","MN","55406",4808,"English"
"216","Parent/Guardian of Vanessa Rhea Baca","Vanessa Rhea","Baca","7455 3rd Ave S","1","Minneapolis","MN","55408",4813,"English"
"217","Shanteyla & Desiree Kennedy","Rian-Ashley","Kennedy","6400 12th Ave S","","Minneapolis","MN","55407",4825,"English"
"218","Parent/Guardian of Samantha Paton","Samantha","Paton","1682 Bloomington Ave S","1","Minneapolis","MN","55404",4837,"English"
"219","Jacob & Erny Ali","Erin","Ali","5011 18th Ave S","","Minneapolis","MN","55407",4903,"Spanish"
"220","Daliyah Billinghurst","Kameo","Billinghurst","3762 Wentworth Ct W","","Minneapolis","MN","55419",4958,"English"
"221","Tylor & Austin Wilson","Dre'von","Wilson","4819 Park Ave","110","Minneapolis","MN","55404",4959,"English"
"222","Parent/Guardian of Bianca Martinez","Bianca","Martinez","4124 Newton Ave N","","Minneapolis","MN","55412",4975,"Spanish"
"223","Ana & Darren Law","William","Law","976 Newton Ave N","","Minneapolis","MN","55412",5021,"English"
"224","Parent/Guardian of David Cereceres","David","Cereceres","755 Irving Ave N","","Minneapolis","MN","55411",5022,"English"
"225","Elizabet & Darius Smith","Kirell","Smith","4703 Franklin Ave West","","Minneapolis","MN","55405",5026,"Spanish"
"226","Lacey Ledford","Adam","Ledford","6750 16th Ave S","","Minneapolis","MN","55407",5029,"Spanish"
"227","Caitlin & Javonte Chopp","Garet","Chopp","1716 11th Ave S","4","Minneapolis","MN","55407",5042,"English"
"228","Jeremy Schandle","Hannah","Schandle","5426 36th Ave S","","Minneapolis","MN","55406",5050,"Spanish"
"229","Parent/Guardian of Amanda Hampton","Amanda","Hampton","9246 Colfax Ave N","","Minneapolis","MN","55411",5065,"English"
"230","Parent/Guardian of Jarrett Ellerman","Jarrett","Ellerman","9075 18th Ave S","","Minneapolis","MN","55407",5080,"English"
"231","Keegan Sanchez","Nicholas","Sanchez","6242 Bloomington Ave","","Minneapolis","MN","55417",5084,"English"
"232","Parent/Guardian of Michael Maxwell","Michael","Maxwell","6707 29th Ave Ne","","Minneapolis","MN","55418",5101,"English"
"233","Parent/Guardian of Kelly Ream","Kelly","Ream","6117 Wentworth Ave","","Minneapolis","MN","55419",5117,"English"
"234","Parent/Guardian of Kaitlin Perez-Paine","Kaitlin","Perez-Paine","3702 Pillsbury Ave","201","Minneapolis","MN","55408",5147,"Somali"
"235","Parent/Guardian of Brandan Nguyen","Brandan","Nguyen","863 Bloomington Ave","308","Minneapolis","MN","55407",5162,"English"
